代號,名稱,年月日,100-200 張(比率),200-400 張(比率),400-600 張(比率),600-800 張(比率),800-1000張(比率),1000張以上  (比率)
1626,艾美特-KY,2023/01/13,5.33,8.45,5.63,4.97,3.74,57.61
1701,中化,2023/01/13,4.23,2.6,2.14,0.26,2.4,54.88
1702,南僑,2023/01/13,2.57,2.27,1.61,1.57,0.29,64.51
1707,葡萄王,2023/01/13,3.57,6.07,3.43,2.81,3.76,53.56
1708,東鹼,2023/01/13,2.95,3.9,1.56,1.65,1.12,39.74
1709,和益,2023/01/13,4.63,4.4,3.5,2.01,1.85,54.17
1710,東聯,2023/01/13,4.05,3.52,2.24,1.51,1.24,60.13
1711,永光,2023/01/13,5.06,5.02,2.79,2.47,0.95,44.42
1712,興農,2023/01/13,5.8,6.11,4.12,2.98,3.3,44.13
1713,國化,2023/01/13,3.42,5.62,2.46,2.96,1.19,69.93
1714,和桐,2023/01/13,5.67,6.07,3.14,2.1,1.76,51.05
1717,長興,2023/01/13,3.45,3.56,2.25,1.85,1.84,66.66
1718,中纖,2023/01/13,6.31,4.7,2.73,1.57,1.6,45.19
1720,生達,2023/01/13,2.13,3.88,2.42,1.46,2.88,59.61
1721,三晃,2023/01/13,4.44,5.49,3.94,2.02,2.84,29.28
1722,台肥,2023/01/13,4.46,3.73,1.87,1.75,0.85,64.89
1723,中碳,2023/01/13,3.29,3.41,3.23,0.86,1.14,53.04
1725,元禎,2023/01/13,0.29,0.37,0.25,0.41,0.97,93.11
1726,永記,2023/01/13,1.61,0.82,0.82,0.92,0.5,84.31
1727,中華化,2023/01/13,3.76,2.74,1.8,0,1.59,50.99
1730,花仙子,2023/01/13,1.9,2.4,1.33,1.03,2.92,52.64
1731,美吾華,2023/01/13,4.91,4.16,3.05,1.1,0,55.74
1732,毛寶,2023/01/13,2.14,0.47,1.36,0,4.26,44.22
1733,五鼎,2023/01/13,6.92,6,4.84,2.04,3.58,12.33
1734,杏輝,2023/01/13,4.06,7.12,3.6,2.02,3.38,29.34
1735,日勝化,2023/01/13,2.66,1.27,1.92,1.32,0,84.38
1736,喬山,2023/01/13,2.08,2.9,1.68,2.28,1.4,78.2
1737,臺鹽,2023/01/13,3.26,2.98,3.49,1.08,0.44,55.97
1742,台蠟,2023/01/13,2.12,5.81,4.07,5.86,2.81,64.14
1752,南光,2023/01/13,3.52,1.42,1.45,4.83,2.63,60.04
1760,寶齡富錦,2023/01/13,7.24,5.96,6.11,4.23,2.1,38.4
1762,中化生,2023/01/13,8.72,6.74,9.87,1.87,2.13,35.62
1773,勝一,2023/01/13,2.81,2.98,2.32,2.48,1.42,68.13
1776,展宇,2023/01/13,3.63,5.03,3.93,6.23,6.28,53.78
1777,生泰,2023/01/13,6.13,4.16,2.19,1.47,2.01,55.16
1781,合世,2023/01/13,5.67,4.44,5.5,1.44,1.83,29.57
1783,和康生,2023/01/13,5.85,5.05,3.51,5.76,2.14,48.15
1784,訊聯,2023/01/13,7.12,7.56,5.96,1.39,3.73,27.62
1785,光洋科,2023/01/13,6.42,5.04,2.67,3.08,1.65,36.02
1786,科妍,2023/01/13,7.54,6.66,5.19,1.19,1.48,47.89
1788,杏昌,2023/01/13,6.18,5.91,3.09,5.05,2.03,41.48
1789,神隆,2023/01/13,2.4,2.54,1.13,0.96,0.33,76.17
1795,美時,2023/01/13,3.09,4.51,1.93,1.79,0.66,73.68
