,年度,季別,公司代號,公司名稱,股本,股本分級
924,112,1,4439,冠星-KY,383698,5
925,112,1,4440,宜新實業,675980,5
926,112,1,4502,健信,581117,5
927,112,1,4503,金雨,603133,5
928,112,1,4506,崇友,1770120,4
929,112,1,4510,高鋒,1080107,4
930,112,1,4513,福裕,768803,5
931,112,1,4523,永彰,640000,5
932,112,1,4526,東台,2548265,3
933,112,1,4527,方方土霖,761524,5
934,112,1,4528,江興鍛,841657,5
935,112,1,4529,淳紳,845811,5
936,112,1,4530,宏易,494373,5
937,112,1,4532,瑞智,5049151,2
938,112,1,4533,協易機,1584341,4
939,112,1,4534,慶騰,867889,5
940,112,1,4535,至興,756617,5
941,112,1,4536,拓凱,908200,5
942,112,1,4538,大詠城,504610,5
943,112,1,4540,全球傳動,946237,5
944,112,1,4541,晟田,676471,5
945,112,1,4542,科嶠,322854,5
946,112,1,4543,萬在,569700,5
947,112,1,4545,銘鈺,770000,5
948,112,1,4549,桓達,493595,5
949,112,1,4550,長佳,378387,5
950,112,1,4551,智伸科,1152225,4
951,112,1,4552,力達-KY,1160000,4
952,112,1,4554,橙的,232986,5
953,112,1,4555,氣立,683976,5
954,112,1,4556,旭然,418840,5
955,112,1,4557,永新-KY,419718,5
956,112,1,4558,寶緯,500000,5
957,112,1,4560,強信-KY,680972,5
958,112,1,4561,健椿,585216,5
959,112,1,4562,穎漢,875460,5
960,112,1,4563,百德,549500,5
961,112,1,4564,元翎,2027883,3
962,112,1,4566,時碩工業,823893,5
963,112,1,4568,科際精密,320441,5
964,112,1,4571,鈞興-KY,533350,5
965,112,1,4572,駐龍,358000,5
966,112,1,4576,大銀微系統,1198018,4
967,112,1,4577,達航科技,491380,5
968,112,1,4580,捷流閥業,431331,5
969,112,1,4581,光隆精密-KY,338990,5
970,112,1,4583,台灣精銳,801714,5
971,112,1,4584,君帆,277800,5
972,112,1,4609,唐鋒,479468,5
973,112,1,4702,中美實,723332,5
974,112,1,4706,大恭,790301,5
975,112,1,4707,磐亞,3526283,3
976,112,1,4711,永純,610560,5
977,112,1,4712,南璋,736907,5
978,112,1,4714,永捷,1394638,4
979,112,1,4716,大立,849045,5
980,112,1,4720,德淵,1037563,4
981,112,1,4721,美琪瑪,749863,5
